country,year,population,pop_density,net_migration,migration_perc,region,adminregion,incomeLevel,longitude,latitude,population_log,pop_density_log
Afghanistan,1961,9169410.0,14.0449866740189,172437.0,0.01880568106344901,South Asia,South Asia,Low income,69.1761,34.5228,16.031383501922814,2.642265511749698
Afghanistan,1962,9351441.0,14.3238075544527,-20000.0,-0.002138707820538,South Asia,South Asia,Low income,69.1761,34.5228,16.051041007037025,2.66192301686391
Afghanistan,1963,9543205.0,14.617536684741,373795.0,0.03916870694908053,South Asia,South Asia,Low income,69.1761,34.5228,16.071339940883007,2.682221950709896
Afghanistan,1964,9744781.0,14.9262950709187,201576.0,0.02068553413360444,South Asia,South Asia,Low income,69.1761,34.5228,16.092242417608166,2.703124427435051
Afghanistan,1965,9956320.0,15.2503140030022,211539.0,0.02124670561010494,South Asia,South Asia,Low income,69.1761,34.5228,16.113718083375353,2.724600093202242
Afghanistan,1966,10174836.0,15.5850197592133,218516.0,0.021476120106505892,South Asia,South Asia,Low income,69.1761,34.5228,16.13542817122692,2.7463101810538064
Afghanistan,1967,10399926.0,15.9297950556015,-20000.0,-0.0019230906066062,South Asia,South Asia,Low income,69.1761,34.5228,16.157309248701672,2.768191258528558
Afghanistan,1968,10637063.0,16.2930230064639,462227.0,0.04345438209776514,South Asia,South Asia,Low income,69.1761,34.5228,16.179854969938834,2.790736979765724
Afghanistan,1969,10893776.0,16.686235946451,256713.0,0.0235651072685908,South Asia,South Asia,Low income,69.1761,34.5228,16.203702174937234,2.8145841847641226
Afghanistan,1970,11173642.0,17.1149128450204,279866.0,0.025046981100701096,South Asia,South Asia,Low income,69.1761,34.5228,16.229068169826803,2.8399501796536932
Afghanistan,1971,11475445.0,17.5771911282664,301803.0,0.0262998951238928,South Asia,South Asia,Low income,69.1761,34.5228,16.255720093115386,2.866602102942274
Afghanistan,1972,11791215.0,18.0608629721533,-20000.0,-0.0016961780444169,South Asia,South Asia,Low income,69.1761,34.5228,16.28286532063903,2.8937473304659154
Afghanistan,1973,12108963.0,18.5475645620807,633518.0,0.05231810519199703,South Asia,South Asia,Low income,69.1761,34.5228,16.30945648015334,2.9203384899802276
Afghanistan,1974,12412950.0,19.0131881260914,303987.0,0.02448950491220862,South Asia,South Asia,Low income,69.1761,34.5228,16.334250840454846,2.9451328502817375
Afghanistan,1975,12689160.0,19.4362650491683,276210.0,0.021767398314782065,South Asia,South Asia,Low income,69.1761,34.5228,16.356258643646232,2.967140653473121
Afghanistan,1976,12943093.0,19.8252198021015,253933.0,0.019619189941693226,South Asia,South Asia,Low income,69.1761,34.5228,16.376072844749917,2.986954854576802
Afghanistan,1977,13171306.0,20.1747786661765,-1153959.0,-0.0876115853659462,South Asia,South Asia,Low income,69.1761,34.5228,16.393551233571376,3.0044332433982626
Afghanistan,1978,13341198.0,20.4350059737157,398105.0,0.029840273714549472,South Asia,South Asia,Low income,69.1761,34.5228,16.406367399516967,3.017249409343856
Afghanistan,1979,13411056.0,20.5420090065251,69858.0,0.005208985780090695,South Asia,South Asia,Low income,69.1761,34.5228,16.41158999936104,3.022472009187928
Afghanistan,1980,13356511.0,20.4584612321171,-54545.0,-0.004083776069963181,South Asia,South Asia,Low income,69.1761,34.5228,16.407514539271858,3.0183965490987448
Afghanistan,1981,13171673.0,20.1753408081365,-184838.0,-0.014032993379049116,South Asia,South Asia,Low income,69.1761,34.5228,16.393579096783053,3.0044611066099387
Afghanistan,1982,12882528.0,19.7324510614833,-3345095.0,-0.2596613801266335,South Asia,South Asia,Low income,69.1761,34.5228,16.371382532673323,2.982264542500211
Afghanistan,1983,12537730.0,19.2043163924884,-633943.0,-0.05056282118054863,South Asia,South Asia,Low income,69.1761,34.5228,16.344253056049165,2.9551350658760516
Afghanistan,1984,12204292.0,18.6935820849799,-333438.0,-0.02732137185835934,South Asia,South Asia,Low income,69.1761,34.5228,16.31729825111391,2.9281802609407954
Afghanistan,1985,11938208.0,18.2860153784885,-266084.0,-0.02228843725959541,South Asia,South Asia,Low income,69.1761,34.5228,16.29525457091294,2.9061365807398305
Afghanistan,1986,11736179.0,17.976563122262,-202029.0,-0.017214205747884383,South Asia,South Asia,Low income,69.1761,34.5228,16.278186850904046,2.889068860730931
Afghanistan,1987,11604534.0,17.774919584597,-1525351.0,-0.1314443992322311,South Asia,South Asia,Low income,69.1761,34.5228,16.26690644177888,2.877788451605766
Afghanistan,1988,11618005.0,17.7955534111448,-118174.0,-0.0101716258514263,South Asia,South Asia,Low income,69.1761,34.5228,16.268066607901194,2.8789486177280814
Afghanistan,1989,11868877.0,18.1798195631529,250872.0,0.021136961820398002,South Asia,South Asia,Low income,69.1761,34.5228,16.2894301538541,2.900312163680987
Afghanistan,1990,12412308.0,19.0122047605919,543431.0,0.04378162385271136,South Asia,South Asia,Low income,69.1761,34.5228,16.334199118937985,2.945081128764874
Afghanistan,1991,13299017.0,20.3703964096437,886709.0,0.06667477754182885,South Asia,South Asia,Low income,69.1761,34.5228,16.403200680686084,3.0140826905129705
Afghanistan,1992,14485546.0,22.1878289372913,3076383.0,0.2123760471300149,South Asia,South Asia,Low income,69.1761,34.5228,16.48866188264156,3.099543892468447
Afghanistan,1993,15816603.0,24.2266381766382,2517586.0,0.15917362280636366,South Asia,South Asia,Low income,69.1761,34.5228,16.57657076905422,3.1874527788811093
